value_a_code,value_b_code,domain_b_code,case
LCA,Saint Lucia,UNHCR,domain_a
LIE,Liechtenstein,AC2,domain_a
LIE,LIE,CID,domain_a
LIE,215,CRS,domain_a
LIE,Liechtenstein,UNHCR,domain_a
LKA,Sri Lanka,AC2,domain_a
LKA,LKA,CID,domain_a
LKA,160,CRS,domain_a
LKA,Sri Lanka,UNHCR,domain_a
LSO,Lesotho,AC2,domain_a
LSO,LSO,CID,domain_a
LSO,99,CRS,domain_a
LSO,Lesotho,UNHCR,domain_a
LTU,Lithuania,AC2,domain_a
LTU,LTU,CID,domain_a
LTU,102,CRS,domain_a
LTU,Lithuania,UNHCR,domain_a
LUX,Luxembourg,AC2,domain_a
LUX,LUX,CID,domain_a
LUX,103,CRS,domain_a
LUX,Luxembourg,UNHCR,domain_a
LVA,Latvia,AC2,domain_a
LVA,LVA,CID,domain_a
LVA,97,CRS,domain_a
LVA,Latvia,UNHCR,domain_a
MAC,Macao,AC2,domain_a
MAC,MAC,CID,domain_a
MAC,227,CRS,domain_a
MAC,Macau,UNHCR,domain_a
MAF,Unspec Caribbean Country,AC2,domain_a
MAF,MAF,CID,domain_a
MAR,Morocco,AC2,domain_a
MAR,MAR,CID,domain_a
MAR,119,CRS,domain_a
MAR,Morocco,UNHCR,domain_a
MCO,Monaco,AC2,domain_a
MCO,MCO,CID,domain_a
MCO,115,CRS,domain_a
MCO,Monaco,UNHCR,domain_a
MDA,Moldova,AC2,domain_a
MDA,MDA,CID,domain_a
MDA,MOL,CID,domain_a
MDA,114,CRS,domain_a
MDA,228,CRS,domain_a
MDA,Republic of Moldova,UNHCR,domain_a
MDG,Madagascar,AC2,domain_a
MDG,MDG,CID,domain_a
MDG,105,CRS,domain_a
MDG,Madagascar,UNHCR,domain_a
MDV,Maldives,AC2,domain_a
MDV,MDV,CID,domain_a
MDV,108,CRS,domain_a
MDV,Maldives,UNHCR,domain_a
MEX,Mexico,AC2,domain_a
MEX,MEX,CID,domain_a
MEX,113,CRS,domain_a
MEX,Mexico,UNHCR,domain_a
MHL,Marshall Islands,AC2,domain_a
MHL,MHL,CID,domain_a
MHL,217,CRS,domain_a
MHL,Marshall Islands,UNHCR,domain_a
MID,USA Minor Outlying Islands,AC2,domain_a
MID,MID,CID,domain_a
MKD,Macedonia,AC2,domain_a
MKD,MKD,CID,domain_a
MKD,104,CRS,domain_a
MKD,The former Yugoslav Republic of Macedonia,UNHCR,domain_a
MLI,Mali,AC2,domain_a
MLI,MLI,CID,domain_a
MLI,109,CRS,domain_a
MLI,Mali,UNHCR,domain_a
MLT,Malta,AC2,domain_a
MLT,MLT,CID,domain_a
MLT,110,CRS,domain_a
MLT,Malta,UNHCR,domain_a
MMR,Burma,AC2,domain_a
MMR,MMR,CID,domain_a
MMR,MYN,CID,domain_a
MMR,229,CRS,domain_a
MMR,29,CRS,domain_a
MMR,Myanmar,UNHCR,domain_a
MNE,Montenegro,AC2,domain_a
MNE,MNE,CID,domain_a
MNE,MTG,CID,domain_a
MNE,221,CRS,domain_a
MNE,Montenegro,UNHCR,domain_a
MNG,Mongolia,AC2,domain_a
MNG,MNG,CID,domain_a
MNG,116,CRS,domain_a
MNG,Mongolia,UNHCR,domain_a
MNP,Northern Mariana Islands,AC2,domain_a
MNP,MNP,CID,domain_a
